name,sector,categories,tags,scope,date,resources,description,countries,actors
Policy on the Use of AI in the Healthcare Sector,Health,Policy,"Transparency; safety, privacy; accountability;",National,4/1/2018 0:00,"<a target=""_blank"" href=""https://www.haad.ae/HAAD/LinkClick.aspx?fileticket=C5W0f0QCVto%3d&tabid=1276"">Policy text</a>","The policy was issued by the Department of Health (DOH), which is the regulatory body of the health system in the Emirate of Abu Dhabi. Recognising the central role AI can play across the healthcare sector and seeking to capitalise on the benefits to be gained from its use the DOH supports and encourages the development, use and adoption of customized AI technologies and software for healthcare in Abu Dhabi, while seeking to minimize its risks.<br>The policy opens with a definition of key terms, including that of ‘graceful degradation’, which plays an important role in the policy and is understood as “the ability of a computer, machine, electronic system or network to maintain limited functionality even when a large portion of it has been destroyed or rendered inoperative.”<br>The purpose of the policy is to outline the Emirates’ vision for AI in healthcare and to outline key roles and responsibilities of stakeholders. The policy applies to licensed healthcare providers, pharmaceutical manufacturers, health insurers, healthcare researchers, as well as anyone who uses Abu Dhabi-based population or patient clinical or non-clinical data in an AI endeavour.<br>The policy sets out 6 key principles:<br>[ul]<br><li>Transparency: verifiable and explainable AI to ascertain the reasons of any system failures.</li><br><li>User Assistance / Supportive technology: AI should assist users in making intelligent decisions.</li><br><li>Safety and Security: Robust and dependable AI is essential to ensure it doesn’t harm the lives or bodies of users or third parties.</li><br><li>Privacy: AIs should not infringe the privacy rights of users or third parties.</li><br><li>Ethics: human dignity and individual autonomy should be respected in AI R&D.</li><br><li>Accountability: researchers and developers need to be accountable to users and other stakeholders, disclosing relevant information and maintaining adequate communications with stakeholders.</li><br>[/ul]<br>DOH is committed to maximising the benefits and minimising the risks of AI. In order to achieve this, it will create a regulatory framework building on its 6 key principles. <br>The policy also formulates a set minimum acceptable requirements against healthcare AI applications. These include the requirement of AI systems to be robust and responsive evidenced by certification from international agencies, compliance with Abu Dhabi Smart Solutions & Services Authority regulations, and auditable validation statements. AI tools must also have mechanisms for graceful degradation built-in, and should be continuously updated and improved on the basis of user feedback. Systems should also be subjected to audits but the criteria for such audits are not outlined. AI tools must also comply with Health Information Exchange Policy (HIEP) regulations, which includes privacy and transparency requirements. However, the HIEP has only one provision on transparency, establishing it as a guiding principle and calling for broad stakeholder engagement. <br>The policy sets out requirements for non-patient users/providers of AI services as well, including the requirement of guidelines about access to and use of patient information, adequate education on AI tools, reporting of audits to DOH, compliance with all regulatory requirements, and the submission of end-user feedback to DOH. <br>A monitoring and evaluation framework on the effectiveness of AI in healthcare is to be developed, focusing on inputs, activities, outputs and outcomes.",United Arab Emirates,Abu Dhabi Department of Health
Artificial Intelligence Mission Austria 2030 (AIM AT 2030),AI in general,Strategy,accountability,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.bmvit.gv.at/innovation/publikationen/ikt/downloads/aimat_ua.pdf"">Austrian AI Strategy</a><br><a target=""_blank"" href=""https://www.digitalroadmap.gv.at/en/"">Austrian Digital Roadmap</a>","In November 2018 two Austrian ministers called on the Council of Ministers to support the development of a national AI strategy. The Council of Ministers voted in favour of the proposal, which would also support the realisation of the aims outlined in the Austrian Digital Roadmap, presented in January 2017. The roadmap laid out a comprehensive vision of digital modernisation until 2025 mentioning the need to consider the ethical and regulatory questions surrounding AI. <br><br>The proposal frames the need for a national strategy as a matter of preserving the country’s “digital sovereignty”, and as a way of capitalising on the opportunities, while avoiding the risks and unforeseen consequences of broad AI adoption. The working title of the strategy is Artificial Intelligence Mission Austria 2030 (AIM AT 2030) and it is meant to establish the conditions for responsible AI in the service of prosperity. The strategy should be developed in close cooperation with the Council on Robotics and AI, involving a broad range of societal stakeholders, and paying due attention to the principle of subsidiarity. The call highlights both the economic benefits that AI might bring about as well as its disruptive effects on the job market, its potential to threaten democratic processes and to influence public opinion through automated and targeted disinformation campaigns. <br><br>The proposal also formulates suggestions for what the aims of the strategy should be. It reiterates the importance of achieving digital sovereignty and independence from global monopolies through the application of AI for the public good, informed by core European values, like human dignity, respect for privacy and equality. It should support the development of measures to quickly respond to risks and negative developments, as well as inform the creation of a legal framework in accordance with European requirements. The strategy should help elevate AI R&D in a few niche areas and in basic science to a world class level, and support the country’s global competitiveness in terms of innovation, supporting SMEs in particular. The strategy should also address public engagement measures and the application of AI in the domains of medicine, national security, policing and government services.<br><br>The proposal advised the creation of 7 working groups, with representatives from the relevant ministries, government agencies, academic, industrial and civil society stakeholders. The 7 working groups are:<br><br>[ul]<br><li>Research and Innovation <em>(Federal Ministry of Transportation, Innovation and Technology)</em></li><br><li>AI in the public sector <em>(Federal Ministry of Digital and Economic Affairs)</em></li><br><li>AI for the industry and the economy <em>(Federal Ministry of Digital and Economic Affairs)</em></li><br><li>Society, ethics and the labour market <em>(Federal Ministry of Digital and Economic Affairs)</em></li><br><li>Infrastructure for industrial leadership <em>(Federal Ministry of Labour, Social Affairs, Health and Consumer Protection)</em></li><br><li>AI governance, security and the law <em>(Federal Ministry of Digital and Economic Affairs)</em></li><br><li>Qualifications and education <em>(Federal Ministry of Education)</em></li><br>[/ul]<br><br>The Federal Ministry of Transportation, Innovation and Technology and the Federal Ministry of Digital and Economic Affairs, which led the proposal, also produced a short document surveying the state-of-the-art in AI technology development, describing the main ethical issues and providing an overview of the state of the AI industry in Austria. The overview expressed a commitment to a humane and socially acceptable development of artificial intelligence, calling for the proactive engagement of the whole of society.",Austria,"Austrian Federal Ministry of Transportation, Innovation and Technology ; Austrian Federal Ministry of Digital and Economic Affairs"
Austrian Council on Robotics and AI,AI in general,Advisory body,,National,10/1/2017 0:00,"<a target=""_blank"" href=""https://www.acrai.at/en/"">Austrian Council on Robotics & AI</a>","The Austrian Council on Robotics and Artificial Intelligence is set up by the Federal Ministry for Transport, Innovation and Technology, whose recommendations are available to all Austrians. It consists of experts on Robotics and Artificial Intelligence from research, teaching and industry and identifies and discusses current and future opportunities, risks and challenges arising from the use of Robotics and Autonomous Systems (RAS) and Artificial Intelligence (AI).",Austria,"Federal Ministry on Transport, Innovation and Technology"
Regulation on Autonomous Driving,Autonomous mobility,Regulation,,National,12/1/2016 0:00,"<a target=""_blank"" href=""http://www.austriatech.at/files/get/a8d601dc11a94cd3d431b68c4f846dbe/bgbla_2016_ii_402.pdf"">Regulation text [German]</a>","The regulation specifies different rules for 3 specific cases of autonomous driving, namely, an autonomous minibus, vehicles equipped with highway cruise control and lane change, and autonomous army vehicles. <br>An autonomous minibus must have a maximum of 8 seats in addition to the driver and may only use autonomous driving features at a maximum speed of 20km/h. It may only be tested on public roads when 1000 kilometers of prior testing had already been completed. Testing may not be done on a commercial basis. In the event of a critical situation the driver must regain control of the vehicle. <br>Vehicles with autonomous highway cruise control and lange change may be tested on public roads after 10 000 kms of prior testing. The vehicle may perform longitudinal guidance of the vehicle, such as accelerating, braking, stopping, and distance control, as well as transverse guidance of the vehicle, such as holding lane, changing lane, and overtaking. In the event of a critical situation the driver must regain control of the vehicle and before leaving the highway the human driver must regain full control. <br>In the case of army vehicles, the vehicle must be able to accomplish all driving tasks autonomously or by teleoperation. It may only be tested on public roads by the Ministry of Defense, following 300 kms of prior testing. Such testing may include autonomous driving, teleoperated driving, and platooning. This is the only vehicle type which may be tested on any type of road. <br>Regardless of the type of vehicle, their use is only allowed if they have been approved, they are in serial production, and are used only for the purposes of testing. The vehicles must also comply with existing regulations on road traffic, air pollution, and railroad crossing.<br>Vehicles with assistance or autonomous driving features may only be tested on public roads with the appropriate insurance, evidence of which must carried in the vehicle. In addition, the Federal Ministry for Transport, Innovation and Technology must receive certain information, such as the type of autonomous use case, details about the organisation performing testing, as well as the driver in the vehicle during testing, the number of real, virtual or experimental test kilometers to date with the system to be tested, and information about the duration and location of testing. <br>Public road testing may only be conducted if sufficient previous tests have been done. This must be evidenced to the Ministry, which issues a permit, which must be carried in the vehicle at all times. At the end of the test period the Ministry must be informed about the learning derived from tests, especially about any accidents, failures or critical situations.<br>Furthermore, a suitably qualified driver must always be present behind the wheel, who may hand over certain tasks to the autonomous system but they remain responsible for regaining control whenever necessary. The driver must also consent to the collection of data about the vehicle’s control system. <br>Vehicles equipped with assistance systems or automated or networked driving systems that are not authorized for traffic may be equipped with a test-drive number plate and be allowed on public roads. <br>Vehicles must be equipped with an accident data capture system, which must be operational during testing. This may only capture data about the electronic control system of the car and the data must not be alterable. The data may only be used for the purposes of the test and to reconstruct critical situations or accidents. Data about accidents, including recordings from a 30 second timespan preceding and following the event must be provided to authorities at their request. <br>In case video data is also to be captured during a test, this must be approved by the Data Protection Authority and all recordings of number plates and persons must be made unrecognizable.",Austria,"Federal Ministry for Transport, Innovation and Technology"
Positively Shaping the Future of Austria with Robotics and AI,AI in general,White paper,,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.acrai.at/images/download/ACRAI_whitebook_online_2018.pdf"">White paper</a>","The Council published its White Paper in November 2018, at the same time when two ministries called on the Federal Government to develop an Austrian national strategy. This document offered key principles and ‘cornerstones’ for the development of such a strategy. It identified 4 fields of action and 3 cornerstones.<br>The fields of action are Technology, R&D and the economy; Workplace and qualification; Society and law; Awareness raising, communication and public relations.<br>The 3 cornerstones are Smart Governance; Smart Innovation; and Smart Regulation.<br>Under Smart Governance, the Council recommends that the Austrian national strategy should be developed in an iterative manner, building on institutionalized learning processes and feedback loops as well as on a continuous monitoring of AI R&D, and with broad involvement of citizens and stakeholders from affected fields. Further, the Council recommends strong networking with strategic EU initiatives and cites the Montreal Declaration on Responsible AI as an inspiring model. <br>In relation to Smart Innovation the Council recommends significant investment in AI technologies and the necessary infrastructure, as well as targeted measures for the training of professionals and the retraining of employees. Furthermore, a distinction should be introduced between unproblematic and sensitive areas of AI applications. “For sensitive application areas with high risk and unclear technology assessment, ""sandboxes"" and ""testbeds"" should be set up, which enable rapid learning, for all involved stakeholders (research and development, business and politics), and rapid knowledge transfer.” Innovation policy should build on the experiences derived from the various use cases, and incorporate feedback loops and procedures for reflection.<br>Finally, under Smart Regulation, the Council recommends reviewing the existing ethical and legal framework and creating new rules and standards as necessary. This work should be undertaken in close coordination with the activities and decisions of the European Commission. Certification and auditing tools for robotics and AI technologies should be developed as well.",Austria,Austrian Council on Robotics and AI
Declaration of Amsterdam,Autonomous mobility,International agreement,Legal harmonization; interoperability;,International - EU,4/1/2018 0:00,"<a href=""https://www.regjeringen.no/contentassets/ba7ab6e2a0e14e39baa77f5b76f59d14/2016-04-08-declaration-of-amsterdam---final1400661.pdf"" target=_blank>Declaration of Amsterdam</a>","The Amsterdam Declaration was signed in April 2016 by 28 European Member States. The objectives of the declaration are to work towards:<br>[ul]<br><li>“a coherent European framework for the deployment of interoperable connected and automated driving, which should be available, if possible, by 2019; </li><br><li>to bring together developments of connected and automated driving in order to reach their full potential to improve road safety, human health, traffic flows, and to reduce the environmental impact of road transport; </li><br><li>to adopt a “learning by experience” approach, including, where possible, cross-border cooperation, sharing and expanding knowledge on connected and automated driving and to develop practical guidelines to ensure interoperability of systems and services;</li><br><li>to support further innovation in connected and automated vehicle technologies to strengthen the global market position of European industry; and to ensure data protection and privacy.” </li><br>[/ul]<br>The parties agree to develop a joint agenda that would include several key elements, such as coherent international, European and national rules (legal harmonisation), clarification about the availability of data for private and public uses, while ensuring privacy and data protection. In addition, the joint agenda would address vehicle-to-vehicle and vehicle-to-infrastructure communication to ensure that new services and systems are compatible and interoperable at European level and to coordinate investments towards reliable communication coverage. In relation to security, the development common trust models and certification policies is put forward. Further, the agenda should formulate steps to manage societal expectations, to raise awareness and increase acceptance and appreciation of connected and automated vehicle technologies; develop common definitions of connected and automated driving systems based on SAE levels as a starting point and develop and maintain close cooperation with other regions, particularly the US and Japan, to work towards a global framework and international standards. <br>Concrete actions for Member States, the EU Commission and industry have also been identified. <br>Member states should work to adapt national regulations by identifying and removing legal barriers to testing and deployment of AVs. Member states were also encouraged to exchange best practices, especially around the testing of AVs under various circumstances. Updating the Vienna and Geneva Conventions on Road Traffic will be an essential step going forward.<br>According to the Declaration, the European Commission should review and adapt the EU regulatory framework, and capitalise on a joint learning process. The Join Agenda also advocated the development of a coordinated effort towards research and innovation in the field of AVs.<br>The Declaration invited industry actors to participate in the development of the EU strategy and to help identify barriers to development, as well as to continue working on V2V and V2I systems and standards.",European Union,EU Member States
Coalition on Artificial Intelligence,AI in general,Network ; Strategy,,National,10/1/2018 0:00,"<a target=""_blank"" href=""https://digitalisjoletprogram.hu/hu/tartalom/mesterseges-intelligencia-koalicio"">Digital Welfare Programme website [Hungarian]</a>","The Coalition on AI was launched by the Hungarian Ministry for Innovation and Technology in October 2018. The Coalition’s activities unfold under the Government’s Digital Welfare Programme, which was launched in 2015 and is meant to allow Hungarian citizens and businesses to reap the benefits of digitization. The Coalition is envisioned as a long-term forum for AI developers, government and market users, academic and professional stakeholders to collectively define the course and framework for AI development and use in Hungary. <br> <br>The aim of the Coalition is to position Hungary among the European leaders of AI development and applications; to strengthen Hungarian competitiveness through AI adoption; to support Hungarian startups and SMEs undertake AI development, and to support their partnerships with academic and industry players locally and internationally; and to support the development of the Hungarian economy and society through a considered, fair and regulated use of data-assets both by government and all other actors of the digital ecosystem.<br> <br>The Coalition will provide a platform to discuss broad ranging issues and create consensus, while the Government will seek to expedite the process of lawmaking in the area. The Coalition is comprised of 140 partner organisations, including representatives of several Government Ministries, universities, local and multinational corporations, banks, SMEs and some civil society organisations. The Coalition has formed 6 working groups:<br> <br>[ul]<br><li>AI strategy</li><br><li>Technology and security</li><br><li>Data-industry and data-assets</li><br><li>Regulation and ethics</li><br><li>Applications and market development</li><br><li>Education and public engagement</li><br>[/ul]<br> <br>The national AI strategy is due to be completed by the end of 2019.",Hungary,Ministry for Innovation and Technology
Committee for Standardisation in AI,AI in general,Standardisation,Certification,National,3/1/2018 0:00,"<a target=""_blank"" href=""https://www.iitp.ac.in/index.php/latest-news/3248-ai-standardization-meeting-at-iitp-15th-november.html"">News coverage announcing the Committee</a>","The Bureau of Indian Standards set up a Committee for Standardisation in AI. The Committee includes ABB,BOSCH, NASSCOM, TCS, IIT Delhi, DSF, IIT Kanpur, NITI Aayog, Mahindra,IIT Patna and Intel. The Committee is working on a Road Map for standardisation and works in collaboration with international efforts under ISO. The work is meant to address certification methodologies, trustworthiness and Foundational AI standards.",India,Bureau of Indian Standards
Personal Data Protection Bill,Data protection,Proposed law,Data privacy; transparency; right to be forgotten; automated decision-making,National,9/1/2018 0:00,"<a target=""_blank"" href=""http://meity.gov.in/data-protection-framework"">Bill text</a><br><a target=""_blank"" href=""http://www.digitaleurope.org/DesktopModules/Bring2mind/DMX/Download.aspx?Command=Core_Download&entryID=2742&language=en-US&PortalId=0&TabId=353"">Digital Europe analysis</a><br><a target=""_blank"" href=""https://www.cfr.org/blog/three-problems-indias-draft-data-protection-bill"">Council on Foreign Relations analysis</a>","The draft bill proposes a complex new legal framework for data protection that is similar to the European GDPR. <br><br>The bill will apply to every organization (State, companies, individuals) that processes personal data, and extends to entities offering goods or services in India and those who profile Indian individuals. It defines personal data as “any data that allows an individual to be directly or indirectly identified.” According to the bill, data processing must be based on consent, obtained no later than at the commencement of data processing, and this consent must be free, informed, specific, clear, and capable of being withdrawn. The bill grants data subjects (principals) similar rights as the GDPR: right to access, correction, data portability and the right to be forgotten. However, the right to be forgotten is not erasure, rather, prevention or restriction of disclosure of personal data by a fiduciary. Unlike the GDPR, which allows data subjects to object to decisions made solely on the basis of automated processing, the Indian bill doesn’t have such a provision. <br><br>Data protection obligations include fair and reasonable processing, purpose limitation, collection limitation, lawful processing, notice, data quality, data storage limitation, and accountability. The bill also establishes a Data Protection Authority (DPA), with members appointed by the Central Government.<br><br>The bill calls for several transparency and accountability measures. <br><br>First and foremost, every data fiduciary must implement Privacy by Design policies extending to managerial, organisational, business practices and technical systems to anticipate, identify and avoid harm. Business interests should be pursued without compromising privacy interests and data processing should be carried out in a transparent manner. <br><br>Moreover, a record of data processing must be kept, and there is an obligation to run data protection impact assessments, annual audit of policies and conduct. The impact assessment is mandated when a data fiduciary undertakes large-scale profiling or uses sensitive personal data, such as biometric data. Such an impact assessment must at minimum include a detailed description of the proposed processing and its purpose, as well as the data to be used; an assessment of the potential harm to data principals; and measures for managing or removing the risk of such harms occurring. The Data Protection Authority will review these assessments and set further conditions or direct the fiduciary to stop its  relevant activities. Organizations involved in such high-risk processing are considered “significant data fiduciaries” and will need to appoint a data protection officer (“DPO”). Organizations not present in India who are under the scope of the Bill will need to appoint a DPO who is based in India.<br><br>The data localization requirements mandate that copies of recorded data must be stored on Indian servers. In addition, the government defines certain ‘critical’ types of data, which may only be processed on Indian servers.",India,Ministry of Electronics & Information Technology
Task Force on Artificial Intelligence,AI in general,Task force,Transparency; Safety; Labour market; Bias;,National,8/1/2017 0:00,"<a target=""_blank"" href=""http://dipp.nic.in/sites/default/files/Report_of_Task_Force_on_ArtificialIntelligence_20March2018_2.pdf"">Task force report</a><br><a target=""_blank"" href=""https://cis-india.org/internet-governance/blog/the-ai-task-force-report-the-first-steps-towards-indias-ai-framework"">Centre for Internet and Society analysis</a>","The Task Force was set up in August 2017 to provide recommendations on how to leverage AI for India’s economic benefit, to advise on the creation of policy and a legal framework to accelerate deployment of AI technologies and to craft concrete 5-year horizon recommendations for specific government, industry and research programs.<br>The Task Force had 18 members comprised of AI entrepreneurs, scientists and government officials. It formulated 6 concrete suggestions for the next 5 years:<br><ol><br><li>Establish an Inter-Ministerial National Artificial Intelligence Mission to:<br>[ul]<br><li>create and seed fund 6 centres of excellence </li><br><li>set up a generic AI test bed to serve as a validation platform for AI developers</li><br><li>set up an interdisciplinary data centre to aggregate and interpret the generated data</li><br><li>coordinate with relevant ministries to accelerate AI commercialization</li><br><li>raise awareness of AU through talent competitions</li><br><li>conduct surveys for data collection</li><br><li>Manage challenge funds</li><br>[/ul]<br></li><br><li>Create data banks, marketplaces and exchanges for cross-industry data availability for AI applications and craft the appropriate data sharing regulations</li><br><li>Create standards for the design and development of AI systems</li><br><li>Put in place measures to boost AI development, including data sharing policies and tax incentives</li><br><li>Support the creation of AI-based curricula, education, re-skilling</li><br><li>Leverage international relationships and participate in international standard setting activities</li><br></ol><br>The report has a brief section on the responsible use of AI, which highlights the need for AI systems to be explainable, engineered for safety and rigorously audited to exclude human biases and prejudices. According to the Task Force, legal provisions applying to natural or legal persons as users of AI should apply mutatis mutandis to machines, however, it acknowledges that specific liability provisions will have to be worked out. It should also be transparent to users whenever they are dealing with an AI system, and the performance of such systems must be auditable, and test and evaluation data should be shared with users. The Task Force calls on AI researchers to have their proposals evaluated by independent ethics panels, but no similar requirement is raised in relation to commercial or government AI projects. The Task Force calls for new standards on robotics to be developed and states that complete autonomy should not be given to weapons systems. The Government should supper interdisciplinary work on AI-human interaction to plan for various scenarios and create appropriate transition plans to deal with possible scenarios.",India,The Ministry of Commerce and Industry
